ID,"ASSOC
WDID","ASSOC
STREAM_ID","WATER
DIVISION","WATER
DISTRICT","STREAM
NAME","STRUCTURE
CATEGORY","LOCATION ON 
GOOGLE_MAPS",LATITUDE,LONGITUDE,,
2,200802,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.7903086681683,-104.969886449964,20z",39.7903,-104.9699,,
16,200817,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.1275484024963,-104.815845225674,20z",40.1275,-104.8158,,
20,200808,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.8776123797708,-104.904116355076,20z",39.8776,-104.9041,,
25,6400502,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.9548825316809,-102.383731018498,20z",40.9549,-102.3837,,
26,6400503,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.9425632193612,-102.446562618966,20z",40.9426,-102.4466,,
27,6400504,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.9234045466779,-102.549077039027,20z",40.9234,-102.5491,,
28,6400511,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.8231487680223,-102.874243791317,20z",40.8231,-102.8742,,
29,6400511,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.7253929217749,-103.124090441958,20z",40.7254,-103.1241,,
30,6400521,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.6754493695658,-103.132465961717,20z",40.6754,-103.1325,,
31,6400524,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.6210199530936,-103.188574974242,20z",40.621,-103.1886,,
32,6402922,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.5644375775503,-103.235016813376,20z",40.5644,-103.235,,
33,6400528,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.5455429013756,-103.256954523836,20z",40.5455,-103.257,,
34,6400530,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.5346527477917,-103.275193069448,20z",40.5347,-103.2752,,
35,6400533,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.4570047827672,-103.390867156696,20z",40.457,-103.3909,,
36,6400535,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.4105802150196,-103.438169248278,20z",40.4106,-103.4382,,
37,100829,201759,1,1,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.3796535725224,-103.478732707865,20z",40.3797,-103.4787,,
38,100687,201759,1,1,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.3522432853112,-103.540471015923,20z",40.3522,-103.5405,,
39,100518,201759,1,1,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.2807052637153,-103.701409146757,20z",40.2807,-103.7014,,
40,100515,201759,1,1,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.2751877112633,-103.833838694054,20z",40.2752,-103.8338,,
41,100517,201759,1,1,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.2774137192043,-103.835936943993,20z",40.2774,-103.8359,,
43,100513,201759,1,1,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.3070250264249,-104.250061175213,20z",40.307,-104.2501,,
43,200834,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.3617754707614,-104.703590314207,20z",40.3618,-104.7036,,
44,100507,201759,1,1,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.3173660653613,-104.376442011435,20z",40.3174,-104.3764,,
45,200828,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.3128998001335,-104.816505481805,20z",40.3129,-104.8165,,
45,200837,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.4010867604127,-104.619779533313,20z",40.4011,-104.6198,,
46,200826,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.2444986346335,-104.862538351058,20z",40.2445,-104.8625,,
46,200836,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.3896802615143,-104.659801127925,20z",40.3897,-104.6598,,
47,202959,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.233042617695,-104.858667728368,20z",40.233,-104.8587,,
48,200824,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.2068635786584,-104.82773332222,20z",40.2069,-104.8277,,
49,200819,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.1695532583833,-104.841508350459,20z",40.1696,-104.8415,,
50,200822,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.1668000321791,-104.840708187474,20z",40.1668,-104.8407,,
51,200821,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.1218456403755,-104.821580681196,20z",40.1218,-104.8216,,
52,200813,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.0942369414548,-104.819075388367,20z",40.0942,-104.8191,,
53,200812,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.0349905364672,-104.829433843949,20z",40.035,-104.8294,,
55,200810,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.9739271963522,-104.850873424432,20z",39.9739,-104.8509,,
58,200809,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.9064029354398,-104.89527923338,20z",39.9064,-104.8953,,
60,,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.8922149982436,-104.90107345278,20z",39.8922,-104.9011,,
76,202955,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.7545381791019,-105.008876768312,20z",39.7545,-105.0089,,
80,,201759,1,8,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.714893334168,-105.001844703985,20z",39.7149,-105.0018,,
103,801006,201759,1,8,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.4849021930996,-105.104095232578,20z",39.4849,-105.1041,,
104,801004,201759,1,8,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.482856755804,-105.116001001481,20z",39.4829,-105.116,,
109,2300693,201759,1,23,South Platte River,Diversion Dam,"https://www.google.com/maps/@38.9680396693679,-105.367064720368,20z",38.968,-105.3671,,
113,2300707,201759,1,23,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.0049490003635,-105.717019999584,20z",39.0049,-105.717,,
114,300937,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.422340443465,-104.670235323319,20z",40.4223,-104.6702,,
117,300934,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.4433905865911,-104.799016330825,20z",40.4434,-104.799,,
118,300932,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.4425381924816,-104.848178309203,20z",40.4425,-104.8482,,
119,300931,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.4697612381382,-104.934223688148,20z",40.4698,-104.9342,,
120,300930,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.4711564765107,-104.935447063457,20z",40.4712,-104.9354,,
122,300929,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.5018549996835,-104.967173219648,20z",40.5019,-104.9672,,
124,302301,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.5593353560879,-105.019763185391,20z",40.5593,-105.0198,,
125,302908,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.5645697870721,-105.025455344121,20z",40.5646,-105.0255,,
127,,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.5770499722738,-105.047454718271,20z",40.577,-105.0475,,
130,300922,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.5980426551058,-105.079228235034,20z",40.598,-105.0792,,
133,300919,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.6120296651021,-105.106811877769,20z",40.612,-105.1068,,
134,300918,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.6116574303675,-105.112986062625,20z",40.6117,-105.113,,
136,300914,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.6260194297607,-105.151445002752,20z",40.626,-105.1514,,
137,300912,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.6308219264285,-105.16794785813,20z",40.6308,-105.1679,,
